"","X","V1","V2"
"1",1,"11.0.C",20.4517696164
"2",2,"11.1.C",9.8873690594
"3",3,"11.2.C",15.4405088618
"4",4,"11.3.C",17.2708624773
"5",5,"11.4.C",19.3878961387
"6",6,"11.5.C",17.8945190847
"7",7,"11.6.C",18.4363559121
"8",8,"11.7.C",19.9831522018
"9",9,"11.8.C",14.6724882686
"10",10,"11.9.C",16.1315218774
"11",11,"11.10.C",17.2555270446
"12",12,"11.11.C",22.8699127772
"13",13,"11.12.C",16.7940067988
"14",14,"11.13.C",17.5674070362
"15",15,"11.14.C",9.4967223068
"16",16,"11.15.C",17.9582725627
"17",17,"11.16.C",23.0393514663
"18",18,"11.17.C",20.2942218151
"19",19,"11.18.C",18.7185907352
"20",20,"11.19.C",12.6428104152
"21",21,"11.20.C",18.8912050815
"22",22,"11.21.C",16.951224567
"23",23,"11.22.C",18.3888621049
"24",24,"11.23.C",12.0835412961
"25",25,"11.24.C",17.7612121952
"26",26,"11.25.C",19.8143192864
"27",27,"11.26.C",12.8517717655
"28",28,"11.27.C",18.7418597465
"29",29,"11.28.C",14.8702595396
"30",30,"11.29.C",17.2403446665
"31",31,"11.30.C",13.772727802
"32",32,"11.31.C",16.1839373417
"33",33,"11.32.C",13.4468601082
"34",34,"11.33.C",14.7801199301
"35",35,"11.34.C",16.7894372072
"36",36,"11.35.C",9.7567544906
"37",37,"11.36.C",9.9369569215
"38",38,"11.37.C",13.0075831259
"39",39,"11.38.C",14.9358254112
"40",40,"11.39.C",17.6725194518
"41",41,"11.40.C",15.9123206144
"42",42,"11.41.C",17.098383889
"43",43,"11.42.C",16.4905335187
"44",44,"11.43.C",17.16822319
"45",45,"11.44.C",15.1457913301
"46",46,"11.45.C",12.706803987
"47",47,"11.46.C",10.8041500145
"48",48,"11.47.C",13.4156573778
"49",49,"11.48.C",9.7553560361
"50",50,"11.49.C",14.8591141275
"51",51,"11.50.C",16.6012760727
"52",52,"11.51.C",13.4472560796
"53",53,"11.52.C",14.4439994937
"54",54,"11.53.C",18.3206656678
"55",55,"11.54.C",9.8100097376
"56",56,"11.55.C",14.64459934
"57",57,"11.56.C",5.9759184033
"58",58,"11.57.C",19.6270833851
