"","V1","V2"
"1","3.0.C","26.3973095632"
"2","3.1.C","19.8647905396"
"3","3.2.C","20.8548668387"
"4","3.3.C","21.8318762889"
"5","3.4.C","16.1257150761"
"6","3.5.C","20.447556643"
"7","3.6.C","19.2085697042"
"8","3.7.C","22.3009143215"
"9","3.8.C","9.0354982894"
"10","3.9.C","12.0727356442"
"11","3.10.C","20.2340727061"
"12","3.11.C","12.623388499"
"13","3.12.C","23.6377052208"
"14","3.13.C","22.1333472146"
"15","3.14.C","21.5745887908"
"16","3.15.C","24.0039778128"
"17","3.16.C","18.2399542651"
"18","3.17.C","16.9630268212"
"19","3.18.C","20.2352279688"
"20","3.19.C","21.5869714266"
"21","3.20.C","16.4692683316"
"22","3.21.C","24.5703839589"
"23","3.22.C","15.6638414341"
"24","3.23.C","21.9429675372"
"25","3.24.C","23.1269573249"
"26","3.25.C","19.0903922417"
"27","3.26.C","11.7875431007"
"28","3.27.C","19.9995547339"
"29","3.28.C","21.1112997976"
"30","3.29.C","13.2739119897"
"31","3.30.C","23.3806767328"
"32","3.31.C","11.4595229964"
"33","3.32.C","23.0507414314"
"34","3.33.C","15.7817204805"
"35","3.34.C","11.4728884668"
"36","3.35.C","16.094524685"
"37","3.36.C","14.0481125829"
"38","3.37.C","20.0044423467"
"39","3.38.C","14.8604488915"
"40","3.39.C","10.6493464329"
"41","3.40.C","19.9947396045"
"42","3.41.C","10.1977613854"
"43","3.42.C","14.2098176767"
"44","3.43.C","23.4987784661"
"45","3.44.C","20.9408189945"
"46","3.45.C","20.4670735877"
"47","3.46.C","22.482764356"
"48","3.47.C","11.2365891812"
"49","3.48.C","14.6137753744"
"50","3.49.C","19.2779919571"
"51","3.50.C","21.6797265822"
"52","3.51.C","22.3174498892"
"53","3.52.C","19.8371723035"
"54","3.53.C","16.6490593821"
"55","3.54.C","16.7786945003"
"56","3.55.C","13.4494947675"
"57","3.56.C","19.5287798207"
"58","3.57.C","17.4317581295"
"59","3.58.C","21.8508062513"
"60","3.59.C","20.2139550579"
"61","3.60.C","12.905270622"
"62","3.61.C","11.9961466437"
"63","3.62.C","15.7732779326"
"64","3.63.C","13.5944187845"
"65","3.64.C","14.3978340603"
"66","3.65.C","20.6017607945"
"67","3.66.C","14.9903392965"
"68","3.67.C","18.5766827505"
"69","3.68.C","6.6499427037"
"70","3.69.C","18.4057241158"
"71","3.70.C","13.3325567268"
"72","3.71.C","16.5657259426"
"73","3.72.C","22.0262398143"
"74","3.73.C","21.2103503919"
"75","3.74.C","12.0573989104"
"76","3.75.C","12.3642297617"
"77","3.76.C","23.1951611969"
"78","3.77.C","21.5316240679"
"79","3.78.C","17.1971171288"
"80","3.79.C","13.5344023353"
"81","3.80.C","11.4690536724"
"82","3.81.C","21.9419297319"
"83","3.82.C","14.2182211981"
"84","3.83.C","20.1352835355"
"85","3.84.C","21.7628523143"
"86","3.85.C","9.5821977138"
"87","3.86.C","18.9657238991"
"88","3.87.C","19.0307869509"
"89","3.88.C","16.0027155233"
"90","3.89.C","17.1767406312"
"91","3.90.C","16.6534780861"
"92","3.91.C","19.7571492977"
"93","3.92.C","20.8163650762"
"94","3.93.C","16.8409392429"
"95","3.94.C","9.8597582348"
"96","3.95.C","18.9886708998"
"97","3.96.C","15.4367202919"
"98","3.97.C","19.5194622533"
"99","3.98.C","21.8300329945"
"100","3.99.C","17.1301863013"
"101","3.100.C","19.7619924268"
"102","3.101.C","22.6651093887"
"103","3.102.C","21.9445927776"
"104","3.103.C","21.0646380217"
"105","3.104.C","16.5409661291"
"106","3.105.C","20.4048705659"
"107","3.106.C","16.9217202909"
"108","3.107.C","13.2033370538"
"109","3.108.C","18.3167129182"
"110","3.109.C","18.9493033771"
"111","3.110.C","20.0184377975"
"112","3.111.C","21.2114664324"
"113","3.112.C","17.7626813661"
"114","3.113.C","21.4426588173"
"115","3.114.C","18.6415358787"
"116","3.115.C","21.4715112542"
"117","3.116.C","18.7411009861"
"118","3.117.C","13.7157064391"
"119","3.118.C","20.4353336719"
"120","3.119.C","9.8664492099"
"121","3.120.C","18.2370743588"
"122","3.121.C","8.1917447998"
"123","3.122.C","10.7251520125"
"124","3.123.C","19.6819840668"
"125","3.124.C","15.1354751338"
"126","3.125.C","17.6973378813"
"127","3.126.C","13.4890184714"
"128","3.127.C","9.7822744068"
"129","3.128.C","12.7955579181"
"130","3.129.C","20.9774131544"
"131","3.130.C","12.8121204719"
"132","3.131.C","19.1423238957"
"133","3.132.C","16.4916951625"
"134","3.133.C","10.0679050373"
"135","3.134.C","20.2934109443"
"136","3.135.C","20.3725323918"
"137","3.136.C","13.5715694009"
"138","3.137.C","16.0051173791"
"139","3.138.C","15.4140568788"
"140","3.139.C","20.2610354397"
"141","3.140.C","22.4057310633"
"142","3.141.C","12.6132610848"
"143","3.142.C","12.485094896"
"144","3.143.C","16.8069693086"
"145","3.144.C","19.9169525703"
"146","3.145.C","14.1494637286"
"147","3.146.C","12.7614932512"
"148","3.147.C","19.6770079754"
"149","3.148.C","19.2452316817"
"150","3.149.C","16.3334995913"
"151","3.150.C","18.5709038688"
"152","3.151.C","9.9751908387"
"153","3.152.C","19.6369325221"
"154","3.153.C","21.1002347227"
"155","3.154.C","14.6962460887"
"156","3.155.C","9.8284556976"
"157","3.156.C","20.6440458216"
"158","3.157.C","18.1133416837"
"159","3.158.C","20.1428200216"
"160","3.159.C","16.0058774528"
"161","3.160.C","18.0697341211"
"162","3.161.C","17.0848909514"
"163","3.162.C","15.2139081602"
"164","3.163.C","13.6132660271"
"165","3.164.C","19.0744255541"
"166","3.165.C","6.3455263335"
"167","3.166.C","15.2960738333"
"168","3.167.C","18.4221139946"
"169","3.168.C","18.3330183163"
"170","3.169.C","17.7888617423"
"171","3.170.C","14.9389149849"
"172","3.171.C","19.0823421454"
"173","3.172.C","17.3551821407"
"174","3.173.C","19.6177936429"
"175","3.174.C","12.0652244107"
"176","3.175.C","15.6338635471"
"177","3.176.C","16.3608093297"
"178","3.177.C","21.6801674515"
"179","3.178.C","15.8361130133"
"180","3.179.C","18.5280100436"
"181","3.180.C","20.4333929581"
"182","3.181.C","18.781270932"
"183","3.182.C","14.243960363"
"184","3.183.C","19.0173050084"
"185","3.184.C","15.2099785061"
"186","3.185.C","18.8258308674"
"187","3.186.C","11.2442058207"
"188","3.187.C","9.8337175064"
"189","3.188.C","13.4054291371"
"190","3.189.C","18.0859751098"
"191","3.190.C","13.6691063568"
"192","3.191.C","14.4758617534"
"193","3.192.C","19.4559923135"
"194","3.193.C","20.3892330734"
"195","3.194.C","15.7892473161"
"196","3.195.C","14.1016524302"
"197","3.196.C","21.775457085"
"198","3.197.C","16.1029133873"
"199","3.198.C","16.7743840615"
"200","3.199.C","11.9442162867"
"201","3.200.C","16.6348753365"
"202","3.201.C","15.8226926639"
"203","3.202.C","16.925848122"
"204","3.203.C","16.1396105895"
"205","3.204.C","21.4085594201"
"206","3.205.C","17.2939390565"
"207","3.206.C","15.0029386767"
"208","3.207.C","20.5598285117"
"209","3.208.C","18.8458172388"
"210","3.209.C","15.7741927199"
"211","3.210.C","17.9511330249"
"212","3.211.C","20.9187481488"
"213","3.212.C","12.7013734534"
"214","3.213.C","13.4429776885"
"215","3.214.C","22.4090846672"
"216","3.215.C","14.140953829"
"217","3.216.C","16.5475758105"
"218","3.217.C","20.1855807496"
"219","3.218.C","8.9441845396"
"220","3.219.C","9.8756746691"
"221","3.220.C","18.7477474644"
"222","3.221.C","15.463135896"
"223","3.222.C","15.4715949387"
"224","3.223.C","14.8434125493"
"225","3.224.C","16.3740132391"
"226","3.225.C","17.0233957383"
"227","3.226.C","21.9131949398"
"228","3.227.C","19.2075167254"
"229","3.228.C","9.079409878"
"230","3.229.C","13.7865175544"
"231","3.230.C","14.0687118335"
"232","3.231.C","16.1970252253"
"233","3.232.C","18.1375075401"
"234","3.233.C","20.4022885568"
"235","3.234.C","19.1184877419"
"236","3.235.C","11.4982652593"
"237","3.236.C","21.0746821722"
"238","3.237.C","9.2421884773"
"239","3.238.C","21.0219229514"
"240","3.239.C","20.270253218"
"241","3.240.C","14.5921900153"
"242","3.241.C","22.9576999597"
"243","3.242.C","15.7644536153"
"244","3.243.C","11.467472451"
"245","3.244.C","12.7165574309"
"246","3.245.C","20.0934820583"
"247","3.246.C","14.9313669126"
"248","3.247.C","18.533999354"
"249","3.248.C","18.0968252049"
"250","3.249.C","9.9178407904"
"251","3.250.C","20.6695080335"
"252","3.251.C","16.5354233275"
"253","3.252.C","15.0612513724"
"254","3.253.C","14.9187824529"
"255","3.254.C","17.6093510999"
"256","3.255.C","16.7130396335"
"257","3.256.C","12.0855032396"
"258","3.257.C","17.4973826029"
"259","3.258.C","15.662924846"
"260","3.259.C","13.6124404588"
"261","3.260.C","20.2284868041"
"262","3.261.C","17.8502999905"
"263","3.262.C","12.8170735619"
"264","3.263.C","14.9264315831"
"265","3.264.C","19.6033234576"
"266","3.265.C","15.0909572059"
"267","3.266.C","10.1726963763"
"268","3.267.C","14.6366934213"
"269","3.268.C","17.5413595156"
"270","3.269.C","6.983480235"
"271","3.270.C","13.44348347"
"272","3.271.C","15.3594956485"
"273","3.272.C","21.1281756506"
"274","3.273.C","16.2805049642"
"275","3.274.C","16.5690792127"
"276","3.275.C","15.729039593"
"277","3.276.C","19.1010408245"
"278","3.277.C","21.2290538143"
"279","3.278.C","20.7022018855"
"280","3.279.C","19.5636856752"
"281","3.280.C","17.4113172908"
"282","3.281.C","21.1971537632"
